Ecological Site Name,Ecological Site ID,Forb,Grass,Shrub,Tree,Total,Artemisia tridentata (includes ssp. wyomingensis),Artemisia tridentata ssp. vaseyana ,Artemisia tridentata ssp. tridentata ,Coleogyne ramosissima,Quercus gambelii,Pinus edulis and Pinus monophyla,Juniperus spp.*,Populus tremuloides,Pinus ponderosa,Sarcobatus vermiculatus,Atriplex spp.**,Atriplex confertifolia,Sporobolus airoides,C3 Perennial Grasses,C4 Perennial Grasses,Strawman Soil Geomorphic Unit,Final Soil Geomorphic Unit,Climate Zone,Ecological Site Group
"Clayey Slopes 6-10\ p.z. Bouldery""",R035XB224AZ,8,158,68,0,233,0,0,0,0,0,0,0,0,0,0,7,38,19,27,101,SalineHills,SalineHills,Arid_Warm,Arid_Warm_SalineHills
"Clay Loam Upland 6-10\ p.z. Sodic""",R035XB225AZ,10,190,100,0,300,0,0,0,0,0,0,0,0,0,0,20,50,50,18,178,SalineUplands,SalineHills,Arid_Warm,Arid_Warm_SalineHills
"Sandstone/Shale Upland 6-10\ p.z. Warm""",R035XB226AZ,15,35,160,0,210,0,0,0,105,0,0,1,0,0,0,0,5,0,9,24,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
"Sandy Loam Upland 6-10\ p.z. Saline-Sodic""",R035XB227AZ,25,358,60,0,443,0,0,0,0,0,0,0,0,0,3,0,13,158,88,228,SalineUplands,SalineHills,Arid_Warm,Arid_Warm_SalineHills
"Sandstone Upland 6-10\ p.z. Sodic""",R035XB228AZ,8,118,75,0,200,0,0,0,0,0,0,0,0,0,2,30,20,55,11,105,SalineHills,SalineHills,Arid_Warm,Arid_Warm_SalineHills
"Cobbly Slopes 6-10\ p.z. Saline""",R035XB229AZ,10,203,70,0,282,0,0,0,0,0,0,0,0,0,0,0,15,3,77,105,SalineUplands,SalineUplands,Arid_Warm,Arid_Warm_SalineUplands
"Sandstone Upland 6-10\ p.z. Very Shallow, Warm""",R035XB230AZ,10,70,188,5,273,0,0,0,150,0,0,5,0,0,0,0,0,0,43,25,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
"Basalt Upland 6-10\ p.z.""",R035XB231AZ,63,33,140,0,235,0,0,0,0,0,0,0,0,0,0,0,40,0,10,53,Shallow,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Limestone/Sandstone Upland 6-10\ p.z.""",R035XB232AZ,25,225,130,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,80,164,Shallow,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Limestone/Sandstone Upland 6-10\ p.z. Saline""",R035XB233AZ,10,212,154,0,375,0,0,0,1,0,0,0,0,0,0,0,123,0,29,202,SalineUplands,Shallow,Arid_Warm,Arid_Warm_Shallow
"Sandstone Upland 6-10\ p.z. Warm""",R035XB234AZ,10,75,225,0,310,0,0,0,170,0,0,0,0,0,0,0,0,0,45,34,Shallow,Shallow,Arid_Warm,Arid_Warm_Shallow
"Sandy Loam Upland 6-10\ p.z. Warm""",R035XB235AZ,13,225,150,0,388,0,0,0,110,0,0,0,0,0,0,0,0,0,102,100,LoamyUplands,LoamyUplands,Arid_Warm,Arid_Warm_SandyUplands_LoamyUplands
"Colluvial Slopes 6-10\ p.z. Warm""",R035XB236AZ,10,80,226,0,315,0,0,0,150,0,0,0,0,0,0,0,25,0,43,23,DeepRocky,SalineUplands,Arid_Warm,Arid_Warm_SalineUplands
"Clay Loam Terrace 6-10\ p.z. Sodic """,R035XB237AZ,20,233,225,0,478,0,0,0,0,0,0,0,0,0,18,175,9,150,25,224,SalineBottoms,Bottoms,Arid_Warm,Arid_Warm_SalineBottoms_Bottoms
"Sandy Terrace 6-10\ p.z. Sodic""",R035XB238AZ,15,205,283,0,503,0,0,0,0,0,0,0,0,0,225,10,5,75,30,163,SalineBottoms,SandyBottoms,Arid_Warm,Arid_Warm_SandyBottoms
"Clayey Fan 6-10\ p.z. (Provisional)""",R035XB239AZ,14,380,72,0,466,0,0,0,0,0,0,0,0,0,15,8,5,167,53,281,SalineUplands,SalineUplands,Arid_Warm,Arid_Warm_SalineUplands
"Limestone/Sandstone Cliffs 6-10\ p.z.""",R035XB240AZ,20,85,150,0,255,0,0,0,8,0,0,0,0,0,0,0,38,0,10,70,Breaks,Breaks,Arid_Warm,Arid_Warm_Breaks
"Mudstone/Sandstone Hills 6-10\ p.z. Warm""",R035XB251AZ,13,7,131,1,150,0,0,0,50,0,1,1,0,0,0,0,0,0,0,7,Breaks,Breaks,Arid_Warm,Arid_Warm_Breaks
"Sandy Loam Upland 6-10\ p.z. Limy""",R035XB267AZ,15,270,115,0,400,0,0,0,0,0,0,0,0,0,0,3,75,13,145,108,LoamyUplands,LoamyUplands,Arid_Warm,Arid_Warm_SandyUplands_LoamyUplands
"Shale Hills 6-10\ p.z.""",R035XB268AZ,10,100,100,0,210,0,0,0,0,0,0,0,0,0,0,20,38,40,23,68,SalineHills,SalineHills,Arid_Warm,Arid_Warm_SalineHills
"Porcelanite Hills 6-10\ p.z.""",R035XB270AZ,13,275,125,0,413,0,0,0,0,0,0,0,0,0,0,15,75,118,53,213,SalineUplands,SalineUplands,Arid_Warm,Arid_Warm_SalineUplands
"Loamy Upland 6-10\ p.z. Saline-Sodic""",R035XB271AZ,13,21,117,0,150,0,0,0,0,0,0,0,0,0,0,106,0,12,7,12,SalineHills,SalineHills,Arid_Warm,Arid_Warm_SalineHills
"Sandy Loam Upland 6-10\ p.z. Saline""",R035XB274AZ,17,305,129,0,450,0,0,0,0,0,0,0,0,0,0,5,68,124,68,190,SalineUplands,SalineUplands,Arid_Warm,Arid_Warm_SalineUplands
"Loamy Fan 6-10\ p.z.""",R035XB275AZ,38,325,88,0,450,0,0,0,0,0,0,0,0,0,0,45,8,138,75,233,SalineUplands,SalineUplands,Arid_Warm,Arid_Warm_SalineUplands
"Siltstone Upland 6-10\ p.z. Saline""",R035XB276AZ,6,110,60,0,176,0,0,0,0,0,0,0,0,0,0,1,5,55,20,75,SalineHills,Gypsum,Arid_Warm,Arid_Warm_Gypsum
"Siltstone Upland 6-10\ p.z. Limy""",R035XB277AZ,8,76,138,0,221,0,0,0,0,0,0,0,0,0,0,71,2,7,52,26,SalineHills,SalineHills,Arid_Warm,Arid_Warm_SalineHills
"Loamy Upland 6-10\ p.z. Saline, Gypsic""",R035XB278AZ,16,313,122,0,450,0,0,0,0,0,0,0,0,0,0,57,12,79,143,132,SalineUplands,SalineUplands,Arid_Warm,Arid_Warm_SalineUplands
"Clay Loam Upland 6-10\ p.z. Sodic, Gypsic""",R035XB279AZ,12,180,200,0,392,0,0,0,0,0,0,0,0,0,0,120,10,30,102,62,SalineUplands,SalineHills,Arid_Warm,Arid_Warm_SalineHills
"Mudstone Slopes 6-10\ p.z.""",R035XB283AZ,6,12,18,0,35,0,0,0,0,0,0,0,0,0,0,10,7,10,2,16,SalineHills,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
"Basalt Upland 10-14\ p.z.""",R035XC301AZ,49,341,196,0,585,65,0,0,0,0,26,52,0,0,0,0,0,0,260,294,Shallow,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Sedimentary Cliffs 10-14\ p.z.""",R035XC302AZ,60,325,170,120,675,30,0,0,0,20,120,120,0,0,0,0,0,0,195,170,Shallow,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Cinder Hills 10-14\ p.z.""",R035XC303AZ,23,525,113,0,661,57,0,0,0,0,57,57,0,0,0,0,0,0,161,424,DeepRocky,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Loamy Upland  10-14\ p.z. Cindery""",R035XC304AZ,9,98,188,2,296,0,0,0,0,0,0,2,0,0,0,0,0,0,17,63,DeepRocky,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Clayey Upland 10-14\ p.z.""",R035XC306AZ,23,600,175,38,835,83,0,0,0,0,38,38,0,0,0,0,0,0,288,502,VerticUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
"Clay Loam Upland 10-14\ p.z.""",R035XC307AZ,35,325,168,38,565,75,0,0,0,0,25,25,0,0,0,0,0,0,185,265,VerticUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
"Limestone/Sandstone Hills 10-14\ p.z.""",R035XC308AZ,13,400,200,0,613,88,0,0,0,0,0,0,0,0,0,0,0,0,251,81,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Clay Loam Terrace 10-14\ p.z.  Saline-Sodic""",R035XC309AZ,75,650,250,0,975,10,0,0,0,0,0,0,0,0,50,0,13,350,325,575,SalineBottoms,Bottoms,Semiarid_Warm,Semiarid_Warm_SandyBottoms_Bottoms
"Limy Slopes 10-14\ p.z.""",R035XC310AZ,14,282,158,0,453,34,0,0,0,0,0,0,0,0,0,0,0,0,52,137,DeepRocky,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Limy Upland 10-14\ p.z.""",R035XC311AZ,15,265,175,13,468,53,0,0,0,0,0,13,0,0,0,0,0,0,45,194,Shallow,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Loamy Wash 10-14\ p.z.""",R035XC312AZ,75,925,238,0,1238,75,0,0,0,0,0,0,0,0,0,0,0,0,675,663,Bottoms,Bottoms,Semiarid_Warm,Semiarid_Warm_SandyBottoms_Bottoms
"Loamy Upland 10-14\ p.z.""",R035XC313AZ,53,525,175,25,778,88,0,0,0,0,25,25,0,0,0,0,0,0,449,333,LoamyUplands,LoamyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
"Sandstone Upland 10-14\ p.z.""",R035XC314AZ,28,200,180,20,428,3,0,0,0,0,10,15,0,0,0,0,0,0,67,101,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Sandy Upland 10-14\ p.z.""",R035XC315AZ,35,388,150,33,605,50,0,0,0,0,33,33,0,0,0,0,0,0,224,263,SandyUplands,SandyUplands,Arid_Warm,Arid_Warm_SandyUplands_LoamyUplands
"Sandy Loam Upland 10-14\ p.z.""",R035XC317AZ,45,420,160,10,635,5,0,0,0,0,0,10,0,0,0,0,0,0,20,373,LoamyUplands,LoamyUplands,Arid_Warm,Arid_Warm_SandyUplands_LoamyUplands
"Silty Shallow 10-14\ p.z.""",R035XC318AZ,11,195,90,0,296,0,0,0,0,0,0,0,0,0,0,0,38,44,19,114,Gypsum,SalineHills,Semiarid_Warm,Semiarid_Warm_SalineHills
"Limestone/Sandstone Upland 10-14\ p.z.""",R035XC319AZ,25,290,205,33,553,118,0,0,8,0,19,71,0,0,0,0,0,0,73,180,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Shale Hills 10-14\ p.z.""",R035XC320AZ,23,228,113,8,370,0,0,0,0,0,5,8,0,0,0,0,63,100,63,171,SalineUplands,SalineUplands,Arid_Warm,Arid_Warm_SalineUplands
"Sandstone Hills 10-14\ p.z.""",R035XC321AZ,33,98,163,150,443,13,0,0,0,0,25,125,0,0,0,0,10,5,55,70,Shallow,Shallow,Arid_Warm,Arid_Warm_Shallow
"Clayey Slopes 10-14\ p.z. Bouldery""",R035XC324AZ,12,260,120,3,395,10,0,0,0,0,0,2,0,0,0,0,30,2,39,53,SalineUplands,SalineHills,Arid_Warm,Arid_Warm_SalineHills
"Cobbly Slopes 10-14\ p.z. Saline""",R035XC325AZ,13,280,80,5,378,0,0,0,0,0,0,5,0,0,0,0,50,34,41,151,SalineUplands,SalineHills,Arid_Warm,Arid_Warm_SalineHills
"Sandy Loam Upland 10-14\ p.z. Saline""",R035XC326AZ,8,288,108,0,403,0,0,0,0,0,0,0,0,0,0,0,60,95,106,181,SalineUplands,SalineUplands,Arid_Warm,Arid_Warm_SalineUplands
"Clayey Upland 10-14\ p.z. Sodic""",R035XC327AZ,7,128,55,0,189,0,0,0,0,0,0,0,0,0,0,15,15,20,6,81,SalineHills,SalineHills,Arid_Warm,Arid_Warm_SalineHills
"Cobbly Slopes 10-14\ p.z.""",R035XC328AZ,18,420,45,15,498,15,0,0,0,0,3,15,0,0,0,0,8,5,70,147,DeepRocky,SalineUplands,Semiarid_Warm,Semiarid_Warm_SalineUplands
"Loamy Upland 10-14\ p.z. Gravelly""",R035XC329AZ,16,447,40,40,542,8,0,0,0,0,0,38,0,0,0,0,5,0,93,93,LoamyUplands,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Sandy Terrace 10-14\ p.z. Stony""",R035XC330AZ,18,412,103,44,576,16,0,0,0,0,10,35,0,0,0,0,0,2,96,120,SandyUplands,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Shallow Upland 10-14\ p.z. Warm""",R035XC331AZ,15,88,343,3,448,10,0,0,208,0,0,2,0,0,0,0,0,0,22,51,Shallow,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Sandstone Upland 10-14\ p.z. Warm""",R035XC333AZ,15,70,300,5,390,0,0,0,270,0,2,6,0,0,0,0,0,0,12,59,Shallow,Shallow,Arid_Warm,Arid_Warm_Shallow
"Sandy Loam Upland 10-14\ p.z. Calcareous""",R035XC334AZ,40,458,100,3,601,3,0,0,0,0,0,3,0,0,0,0,0,0,166,253,LoamyUplands,LoamyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
"Sandstone/Shale Hills 10-14\ p.z.""",R035XC335AZ,35,203,185,35,458,5,0,0,0,0,8,25,0,0,0,0,90,68,62,148,SalineUplands,SalineUplands,Semiarid_Warm,Semiarid_Warm_SalineUplands
"Sandy Loam Upland 10-14\ p.z. Gypsic""",R035XC336AZ,38,425,13,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,10,413,Gypsum,Gypsum,Semiarid_Warm,Semiarid_Warm_Gypsum
"Sandstone/Shale Upland 10-14\ p.z.""",R035XC337AZ,28,125,225,15,393,0,0,0,0,0,0,15,0,0,0,0,88,50,35,145,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
"Loamy Upland 10-14\ p.z. Limy""",R035XC338AZ,6,27,555,6,594,0,0,0,528,0,4,4,0,0,0,0,0,0,0,0,DeepRocky,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Shallow Sandy Loam 10-14\ p.z. Calcareous""",R035XC339AZ,24,11,329,32,395,0,0,0,192,0,20,12,0,0,0,0,0,0,4,0,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
"Basalt Slopes 10-14\ p.z. Calcareous""",R035XC340AZ,33,60,465,33,591,9,0,0,405,0,43,33,0,0,0,0,0,0,18,53,Shallow,Gypsum,Arid_Warm,Arid_Warm_Gypsum
"Gypsum Hills 10-14\ p.z. Calcareous""",R035XC341AZ,35,35,273,9,351,8,0,0,53,0,9,9,0,0,0,0,0,0,27,26,Gypsum,Gypsum,Semiarid_Warm,Semiarid_Warm_Gypsum
"Gypsum Hills 10-14\ p.z.""",R035XC342AZ,12,30,238,6,285,3,0,0,3,0,4,4,0,0,0,0,0,0,9,24,Gypsum,Gypsum,Semiarid_Warm,Semiarid_Warm_Gypsum
"Limestone/Sandstone Cliffs 10-14\ p.z.""",R035XC343AZ,6,75,194,5,279,2,0,0,128,0,0,5,0,0,0,0,0,0,6,3,Breaks,Breaks,Semiarid_Warm,Semiarid_Warm_Breaks
"Shallow Sandy Loam 10-14\ p.z.""",R035XC346AZ,11,93,173,55,331,0,0,0,71,0,27,27,0,0,0,0,0,0,22,39,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
"Basalt Hills 10-14\ p.z. Cobbly""",R035XC347AZ,14,197,255,14,479,0,0,0,192,0,7,14,0,0,0,0,0,0,80,77,Shallow,Shallow,Arid_Warm,Arid_Warm_Shallow
"Limestone Hills 10-14\ p.z.""",R035XC348AZ,15,150,325,3,493,0,0,0,175,0,0,0,0,0,0,0,0,0,10,123,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
"Limestone Upland 10-14\ p.z. Warm""",R035XC350AZ,15,143,333,3,493,0,0,0,262,0,0,0,0,0,0,0,0,0,29,92,Shallow,Shallow,Arid_Warm,Arid_Warm_Shallow
"Sandy Upland 10-14\ p.z. Warm""",R035XC373AZ,15,100,280,5,400,0,0,0,150,0,0,5,0,0,0,0,0,0,50,64,SandyUplands,SandyUplands,Arid_Warm,Arid_Warm_SandyUplands_LoamyUplands
"Sandy Slopes 10-14\ p.z.""",R035XC377AZ,45,270,175,55,545,30,0,0,0,0,23,33,0,0,0,0,0,0,225,164,SandyUplands,SandyUplands,Arid_Warm,Arid_Warm_SandyUplands_LoamyUplands
"Breaks 7-11\ p.z.""",R035XD401AZ,23,50,140,7,220,5,0,0,0,0,6,6,0,0,0,0,0,0,12,17,Breaks,Breaks,Arid_Warm,Arid_Warm_Breaks
"Gypsum Hills 7-11\ p.z.""",R035XD404AZ,71,132,184,3,389,0,0,0,0,0,0,3,0,0,0,0,10,0,58,78,Gypsum,Gypsum,Arid_Warm,Arid_Warm_Gypsum
"Gypsum Upland 7-11\ p.z.""",R035XD405AZ,42,358,152,0,551,0,0,0,0,0,0,0,0,0,0,0,45,0,149,231,Gypsum,Gypsum,Arid_Warm,Arid_Warm_Gypsum
"Loamy Upland 7-11\ p.z.""",R035XD409AZ,23,676,42,0,740,0,0,0,0,0,0,0,0,0,0,0,0,0,157,353,LoamyUplands,LoamyUplands,Arid_Warm,Arid_Warm_SandyUplands_LoamyUplands
"Saline Upland 7-11\ p.z. Loamy""",R035XD410AZ,24,540,200,0,764,0,0,0,0,0,0,0,0,0,60,0,36,12,260,220,SalineBottoms,Bottoms,Semiarid_Warm,Semiarid_Warm_SandyBottoms_Bottoms
"Sandstone Upland 7-11\ p.z.""",R035XD411AZ,17,294,280,0,591,3,0,0,0,0,0,0,0,0,0,0,0,0,83,279,Shallow,LoamyUplands,Arid_Warm,Arid_Warm_SandyUplands_LoamyUplands
"Sandy Upland 7-11\ p.z.""",R035XD412AZ,57,526,188,0,770,0,0,0,0,0,0,0,0,0,0,0,0,0,213,228,SandyUplands,SandyUplands,Arid_Warm,Arid_Warm_SandyUplands_LoamyUplands
"Sandy Loam Upland 7-11\ p.z. Calcareous""",R035XD413AZ,16,327,113,0,456,0,0,0,0,0,0,0,0,0,0,0,0,0,38,177,LoamyUplands,LoamyUplands,Arid_Warm,Arid_Warm_SandyUplands_LoamyUplands
"Sandy Loam Upland 7-11\ p.z.""",R035XD414AZ,27,345,96,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,20,269,LoamyUplands,LoamyUplands,Arid_Warm,Arid_Warm_SandyUplands_LoamyUplands
"Shallow Loamy 7-11\ p.z.""",R035XD415AZ,21,503,98,0,621,0,0,0,0,0,0,0,0,0,0,0,0,0,147,263,Shallow,Shallow,Arid_Warm,Arid_Warm_Shallow
"Silty Upland 7-11\ p.z.""",R035XD416AZ,38,288,150,0,475,0,0,0,0,0,0,0,0,0,8,0,100,18,93,169,SalineUplands,FinerUplands,Arid_Warm,Arid_Warm_FinerUplands_ClayUplands
"Clay Loam Bottom 7-11\ p.z.""",R035XD418AZ,55,825,150,0,1030,0,0,0,0,0,0,0,0,0,0,0,25,125,305,610,Bottoms,Bottoms,Arid_Warm,Arid_Warm_SalineBottoms_Bottoms
"Clay Loam Upland 7-11\ p.z.""",R035XD421AZ,28,338,113,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,38,242,LoamyUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
"Sandy Loam Upland 7-11\ p.z. Gypsic""",R035XD422AZ,20,290,100,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,2,381,Gypsum,Gypsum,Arid_Warm,Arid_Warm_Gypsum
"Breaks 7-11\ p.z. Gypsiferous""",R035XD423AZ,14,113,150,2,278,14,0,0,0,0,0,2,0,0,0,0,0,0,23,101,Gypsum,Gypsum,Arid_Warm,Arid_Warm_Gypsum
"Limy Slopes 6-10\ p.z.""",R035XE507AZ,22,270,110,2,404,0,0,0,23,0,2,2,0,0,0,0,0,0,21,259,DeepRocky,DeepRocky,Arid_Warm,Arid_Warm_DeepRocky
"Sandstone Upland  6-10\ p.z.""",R035XE510AZ,29,122,188,2,340,0,0,0,48,0,3,3,0,0,0,0,0,0,13,128,Shallow,Shallow,Arid_Warm,Arid_Warm_Shallow
"Sedimentary Cliffs 6-10\ p.z.""",R035XE516AZ,50,60,190,0,300,0,0,0,0,0,0,0,0,0,0,0,25,0,0,133,Breaks,Breaks,Arid_Warm,Arid_Warm_Breaks
"Sedimentary Cliffs 13-17\ p.z.""",R035XF601AZ,47,328,235,47,657,0,0,0,0,0,25,25,0,0,0,0,0,0,81,104,DeepRocky,Breaks,Semiarid_Warm,Semiarid_Warm_Breaks
"Clay Loam Upland 13-17\ p.z.""",R035XF603AZ,30,425,170,23,648,80,50,0,0,0,0,23,0,0,0,0,0,0,293,105,FinerUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
"Clayey Upland 13-17\ p.z.""",R035XF604AZ,30,450,140,0,620,88,0,0,0,0,0,0,0,0,0,0,0,0,331,119,VerticUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
"Loamy Upland 13-17\ p.z.""",R035XF605AZ,18,333,170,13,533,120,120,0,0,0,8,8,0,0,0,0,0,0,180,153,FinerUplands,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
"Sandy Loam Upland 13-17\ p.z.""",R035XF606AZ,18,375,248,8,648,94,0,0,0,0,0,8,0,0,0,0,0,0,131,238,FinerUplands,LoamyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
"Sandy Upland 13-17\ p.z.""",R035XF607AZ,50,255,473,18,795,0,203,0,0,25,9,9,0,9,0,0,0,0,185,135,SandyUplands,SandyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
"Limestone / Sandstone Upland 13-17\ p.z.""",R035XF608AZ,18,415,230,10,673,114,0,0,0,0,4,7,0,0,0,0,0,0,215,114,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Sandy Upland 13-17\ p.z. Moderately Deep""",R035XF618AZ,66,108,222,702,1098,36,0,0,0,54,330,330,0,30,0,0,0,0,36,84,SandyUplands,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Gravelly,R035XG114NM,19,563,0,0,582,0,0,0,0,0,10,10,0,0,0,0,0,0,188,494,DeepRocky,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Shallow,R035XG116NM,40,489,0,0,529,0,0,0,0,0,18,18,0,0,0,0,0,0,217,393,Shallow,SalineUplands,Semiarid_Warm,Semiarid_Warm_SalineUplands
Shallow Sandstone,R035XG121NM,40,390,0,0,430,0,0,0,0,0,15,15,0,0,0,0,0,15,368,370,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Hills,R035XG124NM,141,478,53,75,746,0,0,0,0,0,64,64,0,0,0,0,0,0,262,782,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Savanna,R035XG127NM,49,382,105,380,916,0,0,0,0,0,89,89,0,0,0,0,0,0,263,299,LoamyUplands,LoamyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
"Basalt Upland 14-18\ p.z.""",R035XG701AZ,27,193,71,11,301,0,0,0,0,0,29,22,0,0,0,0,0,0,66,231,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Cinder Upland 14-18\ p.z.""",R035XG704AZ,34,665,167,95,960,0,0,0,0,0,95,95,0,95,0,0,0,0,96,557,LoamyUplands,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Clayey Upland 14-18\ p.z.""",R035XG706AZ,30,777,127,67,1000,0,0,0,0,0,23,68,0,0,0,0,0,0,495,626,VerticUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
"Clay Loam Upland 14-18\ p.z.""",R035XG707AZ,90,698,68,90,945,0,0,0,0,0,68,194,0,0,0,0,0,0,360,531,VerticUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
"Loamy Bottom 14-18\ p.z.""",R035XG710AZ,27,608,180,0,815,0,0,0,0,0,0,0,0,0,0,0,0,0,392,393,Bottoms,Bottoms,Semiarid_Warm,Semiarid_Warm_SandyBottoms_Bottoms
"Loamy Upland 14-18\ p.z.""",R035XG711AZ,20,407,163,101,690,0,0,0,0,0,19,81,0,0,0,0,0,0,24,268,Shallow,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
"Shallow Loamy 14-18\ p.z.""",R035XG717AZ,14,490,140,70,714,0,0,0,0,0,21,42,0,0,0,0,0,0,141,357,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Mountain Grassland,R035XH002NM,68,696,69,47,880,0,0,0,0,0,47,47,0,47,0,0,0,0,176,739,VerticUplands,LoamyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
"Cinder Hills 18-22\p.z. (Provisional)""",R035XH003NM,252,455,203,72,981,0,0,0,0,203,15,30,0,27,0,0,0,0,50,194,DeepRocky,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
"Loamy Upland 17-25\ p.z.""",R035XH807AZ,90,1168,28,43,1328,0,0,0,0,0,13,25,0,30,0,0,0,0,448,368,LoamyUplands,LoamyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
"Silty Upland 17-25\ p.z.""",R035XH813AZ,70,510,335,35,950,50,0,0,0,30,0,0,0,30,0,0,0,0,348,15,FinerUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
"Sandstone Upland 17-25\ p.z. Cobbly""",R035XH814AZ,140,340,200,100,780,0,0,0,0,24,24,0,0,24,0,0,0,0,151,9,Shallow,Shallow,Semiarid_Cool,Semiarid_Cool_Shallow
"Meadow 17-25\ p.z.""",R035XH821AZ,225,1200,30,15,1470,0,0,0,0,23,0,15,15,15,0,0,0,0,563,0,Bottoms,Bottoms,Semiarid_Cool,Semiarid_Cool_Bottoms
Alkali Bottom (Greasewood),R035XY003UT,50,375,250,0,675,0,0,25,0,0,0,0,0,0,150,3,13,60,128,315,SalineBottoms,Bottoms,Arid_Warm,Arid_Warm_SalineBottoms_Bottoms
Alkali Flat (Greasewood),R035XY009UT,45,360,210,0,615,0,0,7,0,0,0,0,0,0,147,0,8,39,130,238,SalineBottoms,SalineBottoms,Arid_Warm,Arid_Warm_SalineBottoms_Bottoms
Loamy Bottom (Basin Big Sagebrush),R035XY011UT,63,300,375,0,738,0,0,300,0,0,0,0,0,0,30,0,0,13,218,78,Bottoms,SandyBottoms,Semiarid_Warm,Semiarid_Warm_SandyBottoms_Bottoms
Sandy Bottom,R035XY015UT,30,375,129,0,534,0,0,4,0,0,0,0,0,0,5,0,5,0,243,236,SandyBottoms,SandyBottoms,Arid_Warm,Arid_Warm_SandyBottoms
Talus Slope (Blackbrush-Shadscale),R035XY018UT,26,75,111,0,213,0,0,0,30,0,14,26,0,0,0,0,0,0,85,30,Breaks,Breaks,Arid_Warm,Arid_Warm_Breaks
Shallow Sand Rock Pocket (Utah Juniper/Two-Needle Pinyon),R035XY019UT,30,33,165,59,286,0,0,0,50,0,59,60,0,0,0,0,13,0,35,47,Shallow,VeryShallow,Arid_Warm,Arid_Warm_VeryShallow
