Ecological Site Name,Ecological Site ID,Forb,Grass,Shrub,Tree,Total,Artemisia tridentata (includes ssp. wyomingensis),Artemisia tridentata ssp. vaseyana ,Artemisia tridentata ssp. tridentata ,Coleogyne ramosissima,Quercus gambelii,Pinus edulis and Pinus monophyla,Juniperus spp.*,Populus tremuloides,Pinus ponderosa,Sarcobatus vermiculatus,Atriplex spp.**,Atriplex confertifolia,Sporobolus airoides,C3 Perennial Grasses,C4 Perennial Grasses,Strawman Soil Geomorphic Unit,Final Soil Geomorphic Unit,Climate Zone,Ecological Site Group
Upland Steep Stony Loam (Utah Juniper-Pinyon),R035XY317UT,15,75,100,150,340,0,0,0,0,20,113,75,0,0,0,0,0,0,45,45,DeepRocky,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Upland Stony Loam (Pinyon-Utah Juniper),R035XY321UT,20,100,60,425,605,8,13,0,0,45,263,188,0,0,0,0,0,0,73,68,DeepRocky,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Upland Sand (Utah Juniper-Pinyon),R035XY324UT,30,115,158,513,815,0,65,0,0,75,275,275,0,0,0,0,0,0,54,128,SandyUplands,SandyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
Upland Very Steep Stony Loam (Pinyon-Utah Juniper),R035XY328UT,10,63,55,330,458,0,0,0,0,0,173,115,0,0,0,0,0,0,25,3,DeepRocky,Breaks,Semiarid_Warm,Semiarid_Warm_Breaks
Clayey,R036XB002NM,63,702,135,0,900,59,0,0,0,0,0,0,0,0,0,0,59,180,464,306,VerticUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
Gravelly Fan,R036XB003NM,67,308,118,20,513,64,0,0,0,0,26,26,0,0,0,0,0,0,286,114,FinerUplands,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
Limy,R036XB005NM,28,264,259,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,320,79,FinerUplands,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
Loamy,R036XB006NM,68,621,162,0,850,64,0,0,0,0,0,0,0,0,0,0,0,56,555,269,LoamyUplands,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
Malpais,R036XB007NM,40,240,0,70,350,53,0,0,0,0,0,6,0,0,0,0,0,0,169,92,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Salty Bottomland,R036XB010NM,105,683,263,0,1050,43,0,0,0,0,0,0,0,0,43,0,43,342,447,710,SalineBottoms,SalineBottoms,Semiarid_Warm,Semiarid_Warm_SalineBottoms
Sandy,R036XB011NM,28,525,147,0,700,46,0,0,0,0,0,21,0,0,0,0,0,0,389,186,SandyUplands,SandyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
Sand Plains,R036XB012NM,78,523,150,50,800,61,0,0,0,0,81,81,0,0,0,0,0,81,374,504,SandyUplands,SandyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
Shallow Savanna,R036XB015NM,65,455,130,0,650,27,0,0,0,0,66,131,0,0,0,0,0,0,278,243,Shallow,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
Loamy Savanna,R036XB016NM,50,560,160,30,800,44,0,0,0,0,44,88,0,0,0,0,0,40,352,312,LoamyUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
Swale,R036XB017NM,63,1063,125,0,1250,0,0,53,0,0,0,0,0,0,0,0,0,126,660,377,Bottoms,Bottoms,Semiarid_Warm,Semiarid_Warm_SandyBottoms_Bottoms
Sandy Slopes,R036XB111NM,90,390,330,0,810,45,0,0,0,0,24,24,0,0,0,0,0,45,255,354,SandyUplands,SandyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
Shallow Clay Loam - (Pinyon-Utah Juniper),R036XY110CO,24,104,79,155,363,30,0,0,0,0,27,143,0,0,0,0,0,0,39,13,Shallow,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Steep Shallow Clay Loam - (Pinyon-Utah Juniper),R036XY111CO,23,121,103,123,369,44,0,0,0,0,24,99,0,0,0,0,0,0,51,20,Shallow,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Semidesert Juniper Loam,R036XY113CO,40,120,50,40,250,20,0,0,0,0,8,35,0,0,0,0,20,0,98,58,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Mountain Pinyon,R036XY114CO,58,227,168,164,617,33,11,0,0,19,175,89,0,0,0,0,0,0,295,49,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Shallow Loamy Mesa Top - (Pinyon-Juniper),R036XY141CO,125,267,100,200,692,0,0,0,0,0,128,150,0,0,0,0,0,0,260,0,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Loamy Mesa Top - (Pinyon-Juniper),R036XY142CO,150,350,117,283,900,0,18,0,0,0,158,183,0,0,0,0,0,0,325,0,FinerUplands,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
Salt Meadow,R036XY266CO,63,1738,200,0,2000,0,0,0,0,0,0,0,0,0,105,0,0,550,345,750,SalineBottoms,SalineBottoms,Semiarid_Warm,Semiarid_Warm_SalineBottoms
